Type,Reservation Day,Check-in Day,Occupancy_duration,Decision,Cancel_Date
True,133,223,0,1,
True,136,223,2,0,2015-08-05
True,149,223,2,0,2015-07-20
True,103,223,3,0,2015-06-11
True,103,223,3,0,2015-06-11
True,103,223,3,0,2015-06-11
True,140,223,4,0,2015-05-23
True,138,223,5,0,2015-06-30
True,155,223,7,1,
True,154,223,7,0,2015-06-04
True,138,223,5,0,2015-06-30
True,121,223,5,0,2015-05-06
True,143,223,7,0,2015-05-23
True,138,223,7,0,2015-05-23
True,191,224,1,1,
True,177,224,3,1,
True,96,224,10,0,2015-06-15
True,96,224,10,1,
True,96,224,10,1,
True,146,224,5,1,
True,139,224,14,0,2015-06-17
True,225,225,1,1,
True,224,225,1,1,
True,105,225,2,0,2015-06-22
True,153,225,3,0,2015-06-02
True,217,225,3,0,2015-08-12
True,217,225,3,0,2015-08-12
True,149,225,4,1,
True,202,225,5,0,2015-07-29
True,202,225,5,0,2015-07-29
True,136,225,7,0,2015-08-11
True,226,226,1,1,
True,226,226,1,1,
True,188,226,2,1,
True,188,226,2,1,
True,226,226,3,1,
True,142,226,4,0,2015-05-29
True,219,226,4,1,
True,76,226,7,1,
True,162,226,7,1,
True,216,227,5,0,2015-08-06
True,147,227,5,0,2015-08-05
True,155,227,5,1,
True,147,227,5,0,2015-08-05
True,150,227,5,1,
True,147,227,5,0,2015-08-05
True,150,227,6,0,2015-06-04
True,134,227,6,1,
True,138,227,7,1,
True,159,227,7,0,2015-07-21
True,162,227,7,1,
True,156,227,7,0,2015-07-21
True,162,227,7,0,2015-06-11
True,138,227,7,1,
True,129,227,7,0,2015-08-04
True,152,227,7,1,
True,143,227,14,1,
True,191,228,1,1,
True,191,228,1,1,
True,191,228,1,1,
True,191,228,1,1,
True,228,228,1,1,
True,191,228,1,1,
True,191,228,1,1,
True,226,228,1,1,
True,85,228,2,0,2015-03-31
True,213,228,4,0,2015-08-12
True,213,228,4,0,2015-08-12
True,77,228,10,0,2015-05-29
True,106,228,14,0,2015-06-19
True,97,229,5,0,2015-05-01
True,131,229,4,0,2015-07-29
True,103,229,5,0,2015-04-14
True,132,229,5,0,2015-05-13
True,133,229,6,1,
True,149,229,7,1,
True,119,229,7,0,2015-06-19
True,72,229,7,0,2015-03-24
True,121,229,7,0,2015-05-22
True,155,229,7,1,
True,150,229,7,1,
True,150,229,7,0,2015-07-27
True,113,229,7,0,2015-05-12
True,149,229,7,1,
True,113,229,7,0,2015-05-12
True,136,229,8,0,2015-08-03
True,142,229,10,0,2015-07-01
True,217,230,3,0,2015-08-07
True,217,230,1,1,
True,217,230,3,1,
True,104,230,6,1,
True,104,230,6,1,
True,83,230,5,0,2015-05-21
True,220,230,7,1,
True,138,230,10,1,
True,230,231,1,1,
True,140,231,4,1,
True,103,231,5,1,
True,170,231,5,1,
True,133,231,5,0,2015-07-31
True,222,232,0,1,
True,222,232,0,1,
True,167,232,3,1,
True,176,232,6,0,2015-06-30
True,174,232,7,0,2015-07-08
True,131,233,2,1,
True,217,233,2,1,
True,209,233,2,1,
True,209,233,2,1,
True,138,233,3,0,2015-06-22
True,197,233,3,0,2015-07-17
True,217,233,4,1,
True,157,233,5,1,
True,121,233,5,1,
True,182,233,6,1,
True,220,233,6,1,
True,211,233,6,0,2015-08-10
True,201,233,6,1,
True,170,233,7,0,2015-07-27
True,198,233,7,1,
True,162,233,9,0,2015-07-20
True,234,234,1,1,
True,213,234,1,0,2015-08-19
True,180,234,6,1,
True,78,234,7,0,2015-03-24
True,162,234,7,0,2015-06-12
True,198,234,7,1,
True,169,234,7,1,
True,166,234,7,0,2015-07-09
True,192,234,7,0,2015-08-10
True,162,234,7,1,
True,122,234,7,0,2015-06-02
True,83,234,4,1,
True,135,234,4,0,2015-07-23
True,83,234,5,1,
True,168,234,5,1,
True,190,234,6,0,2015-08-13
True,143,235,3,1,
True,194,235,5,0,2015-08-11
True,177,235,5,0,2015-07-02
True,173,235,5,1,
True,166,235,5,1,
True,119,235,6,0,2015-07-14
True,103,235,7,1,
True,202,235,7,0,2015-07-27
True,173,235,7,1,
True,157,235,7,0,2015-07-21
True,157,235,7,0,2015-07-21
True,204,235,10,0,2015-08-13
True,226,235,10,0,2015-08-18
True,196,236,1,1,
True,236,236,1,1,
True,206,236,1,1,
True,236,236,1,1,
True,152,236,2,1,
True,211,236,2,0,2015-08-11
True,201,236,3,0,2015-08-13
True,210,236,3,0,2015-08-22
True,181,236,4,0,2015-08-03
True,203,236,5,0,2015-07-29
True,187,237,5,0,2015-08-10
True,163,237,5,0,2015-08-10
True,164,237,1,0,2015-06-15
True,164,237,1,0,2015-06-15
True,217,238,0,1,
True,236,238,1,1,
True,236,238,1,0,2015-08-25
True,238,238,1,1,
True,194,238,4,0,2015-07-15
True,181,238,11,1,
True,238,239,1,1,
True,149,239,3,1,
True,182,239,3,0,2015-07-06
True,182,239,4,0,2015-07-02
True,198,239,4,0,2015-07-17
True,178,239,4,0,2015-08-17
True,190,239,4,1,
True,182,239,4,0,2015-07-02
True,133,239,7,0,2015-05-13
True,133,239,7,0,2015-05-13
True,131,239,7,0,2015-08-14
True,190,239,7,1,
True,131,239,7,0,2015-08-14
True,210,240,1,1,
True,76,240,1,0,2015-08-13
True,194,240,2,0,2015-07-27
True,209,240,2,1,
True,206,240,2,1,
True,174,240,2,0,2015-07-01
True,217,240,2,1,
True,208,240,3,1,
True,210,240,3,0,2015-08-24
True,230,240,3,1,
True,229,240,3,1,
True,229,240,3,1,
True,201,240,3,1,
True,236,240,1,1,
True,206,240,2,1,
True,185,240,2,0,2015-07-06
True,210,240,5,1,
True,239,240,5,0,2015-08-28
True,198,240,6,0,2015-08-13
True,173,240,6,1,
True,190,240,7,1,
True,113,240,5,1,
True,212,240,5,1,
True,241,241,2,1,
True,194,241,2,1,
True,194,241,3,1,
True,194,241,3,1,
True,184,241,1,1,
True,240,241,4,1,
True,237,241,4,1,
True,217,241,5,0,2015-08-06
True,105,241,5,1,
True,187,241,6,0,2015-08-03
True,240,242,1,1,
True,231,242,2,1,
True,231,242,2,1,
True,173,242,3,0,2015-08-24
True,205,242,3,1,
True,139,242,3,1,
True,208,242,4,1,
True,195,242,7,0,2015-07-20
True,217,242,7,1,
True,261,242,12,0,2015-08-14
True,243,243,1,1,
True,208,243,2,1,
True,209,243,2,1,
True,160,243,2,1,
True,217,243,3,1,
True,243,243,3,1,
True,201,243,3,0,2015-07-25
True,215,243,3,1,
True,183,243,6,0,2015-07-03
True,217,243,7,1,
True,197,244,2,0,2015-07-22
True,196,244,3,1,
True,196,244,3,1,
True,196,244,4,1,
True,244,244,5,1,
True,239,244,2,1,
True,182,244,5,1,
True,276,244,6,1,
True,217,244,7,1,
True,121,244,7,1,
True,217,244,7,0,2015-08-10
True,217,244,8,1,
True,104,244,10,1,
True,245,245,1,1,
True,141,245,5,1,
True,141,245,5,1,
True,241,245,7,0,2015-09-01
True,245,246,2,1,
True,92,246,3,1,
True,92,246,3,1,
True,189,246,1,1,
True,92,246,3,1,
True,92,246,3,1,
True,92,246,3,1,
True,92,246,3,1,
True,240,246,3,1,
True,307,246,3,0,2015-01-02
True,217,246,4,1,
True,314,246,4,1,
True,314,246,4,0,2014-11-18
True,246,247,1,0,2015-09-04
True,246,247,1,1,
True,233,247,2,1,
True,247,247,4,1,
True,196,247,10,1,
True,224,247,6,1,
True,280,248,7,0,2015-01-02
True,194,248,7,1,
True,194,248,7,0,2015-07-14
True,196,248,7,1,
True,201,248,7,1,
True,209,249,2,1,
True,133,249,2,0,2015-05-13
True,175,249,3,1,
True,224,249,4,1,
True,217,249,1,0,2015-08-06
True,223,249,5,0,2015-08-31
True,176,249,5,0,2015-06-29
True,139,249,5,1,
True,174,249,5,0,2015-07-31
True,188,249,6,1,
True,188,249,6,0,2015-08-25
True,192,249,6,1,
True,188,249,6,1,
True,219,249,7,1,
True,105,249,14,1,
True,279,250,3,0,2015-01-18
True,215,250,4,1,
True,246,250,5,1,
True,195,250,5,0,2015-07-21
True,248,250,5,1,
True,138,250,6,1,
True,145,250,6,0,2015-09-05
True,210,250,7,0,2015-08-04
True,175,250,7,0,2015-08-27
True,220,250,46,1,
True,106,250,10,1,
True,2,250,10,1,
True,251,251,2,1,
True,314,251,3,0,2015-01-22
True,314,251,3,0,2015-01-22
True,314,251,3,0,2015-01-22
True,239,251,4,0,2015-08-28
True,204,251,4,0,2015-08-10
True,240,251,4,1,
True,76,251,7,1,
True,272,251,14,0,2015-01-01
True,252,252,1,0,2015-09-09
True,224,252,1,1,
True,194,252,1,1,
True,252,252,1,0,2015-09-09
True,204,252,2,1,
True,250,252,3,1,
True,252,252,1,1,
True,251,252,5,0,2015-09-09
True,122,252,6,1,
True,122,252,6,1,
True,134,252,7,1,
True,106,252,7,1,
True,93,252,9,0,2015-04-29
True,174,252,9,0,2015-07-23
True,93,252,9,0,2015-04-29
True,203,252,5,1,
True,251,252,5,1,
True,222,253,3,1,
True,87,253,4,1,
True,145,253,5,1,
True,140,253,7,1,
True,253,253,1,1,
True,241,253,2,1,
True,121,253,2,0,2015-05-11
True,241,253,2,1,
True,113,253,7,1,
True,113,253,7,1,
True,156,253,7,1,
True,93,253,7,1,
True,86,253,14,1,
True,254,254,1,1,
True,181,254,1,1,
True,254,254,1,1,
True,191,254,1,1,
True,251,254,1,1,
True,253,254,2,1,
True,246,254,5,1,
True,152,254,7,1,
True,309,254,7,0,2015-07-21
True,243,254,7,1,
True,89,254,10,1,
True,154,255,1,0,2015-06-23
True,83,255,4,0,2015-08-06
True,84,255,4,0,2015-05-09
True,112,255,6,1,
True,134,255,6,0,2015-08-26
True,255,255,7,1,
True,280,255,7,0,2015-01-02
True,85,255,18,1,
True,106,255,7,1,
True,256,256,1,1,
True,129,256,2,0,2015-05-20
True,107,256,3,0,2015-05-09
True,237,256,4,1,
True,78,256,4,0,2015-08-10
True,78,256,4,0,2015-08-10
True,133,256,6,0,2015-05-16
True,84,256,8,1,
True,316,256,11,1,
True,101,257,2,1,
True,223,257,5,1,
True,149,257,5,0,2015-08-20
True,150,257,6,1,
True,246,257,6,1,
True,83,258,4,0,2015-09-02
True,153,258,4,0,2015-08-17
True,159,258,5,1,
True,269,258,14,1,
True,142,258,15,0,2015-05-27
True,258,259,1,1,
True,259,259,1,1,
True,254,259,1,1,
True,213,259,1,1,
True,259,259,1,1,
True,259,259,1,1,
True,253,259,2,1,
True,215,259,2,1,
True,217,259,3,1,
True,187,259,3,1,
True,217,259,3,1,
True,194,259,4,0,2015-08-17
True,138,259,4,0,2015-05-19
True,155,259,5,1,
True,203,259,5,1,
True,145,259,7,1,
True,194,259,6,0,2015-07-20
True,162,259,7,0,2015-06-13
True,254,260,1,1,
True,182,260,2,1,
True,259,260,0,1,
True,155,260,2,0,2015-09-15
True,150,260,4,1,
True,150,260,4,1,
True,150,260,4,1,
True,150,260,4,1,
True,150,260,4,1,
True,122,260,5,1,
True,198,260,5,0,2015-07-31
True,150,260,4,1,
True,150,260,4,1,
True,184,260,7,0,2015-07-20
True,173,260,7,1,
True,226,260,7,1,
True,190,261,3,1,
True,160,261,3,0,2015-08-18
True,159,261,3,0,2015-08-12
True,142,261,7,1,
True,184,261,9,0,2015-07-08
True,258,262,2,1,
True,138,262,5,0,2015-06-02
True,280,262,7,0,2015-01-02
True,197,262,7,0,2015-07-27
True,175,262,10,1,
True,175,262,10,1,
True,149,263,4,0,2015-08-10
True,157,263,6,0,2015-07-31
True,105,263,7,0,2015-04-18
True,160,263,7,1,
True,105,263,7,0,2015-04-18
True,138,263,7,1,
True,132,263,11,1,
True,138,263,11,1,
True,79,264,2,0,2015-08-18
True,230,264,2,0,2015-09-09
True,252,264,2,0,2015-09-18
True,134,264,2,1,
True,79,264,2,0,2015-08-18
True,79,264,2,0,2015-08-18
True,231,264,2,0,2015-08-20
True,79,264,2,0,2015-08-18
True,206,264,2,0,2015-08-18
True,79,264,2,1,
True,136,264,3,1,
True,280,264,4,0,2015-01-02
True,191,264,5,0,2015-07-11
True,203,264,6,0,2015-07-29
True,170,264,7,1,
True,140,264,7,1,
True,152,264,10,1,
True,187,265,2,1,
True,106,265,5,0,2015-04-22
True,190,265,7,0,2015-09-08
True,107,265,7,1,
True,157,265,7,1,
True,107,265,7,1,
True,245,266,1,1,
True,245,266,1,1,
True,245,266,1,1,
True,245,266,1,0,2015-09-22
True,245,266,1,0,2015-09-22
True,147,266,2,1,
True,258,266,5,1,
True,198,266,4,0,2015-09-14
True,129,266,7,1,
True,231,267,2,1,
True,203,267,3,1,
True,238,267,1,1,
True,280,267,4,0,2015-01-02
True,191,267,5,1,
True,191,267,5,1,
True,152,267,7,1,
True,190,267,14,1,
True,268,268,1,1,
True,252,268,1,1,
True,252,268,1,1,
True,268,268,1,1,
True,159,268,2,0,2015-06-19
True,201,268,6,0,2015-08-31
True,162,268,7,1,
True,268,269,2,1,
True,194,269,2,0,2015-07-17
True,210,269,2,0,2015-08-24
True,208,269,3,0,2015-08-27
True,208,269,3,0,2015-08-27
True,205,269,6,1,
True,280,269,7,0,2015-01-02
True,133,269,7,1,
True,215,269,8,0,2015-09-16
True,197,270,3,0,2015-08-04
True,93,270,7,1,
True,189,270,7,0,2015-07-17
True,189,270,7,0,2015-07-20
True,107,270,7,1,
True,173,270,10,1,
True,93,270,14,1,
True,271,271,1,1,
True,271,271,2,1,
True,202,271,4,1,
True,191,271,4,0,2015-07-20
True,215,271,4,1,
True,173,271,4,0,2015-07-06
True,218,271,7,1,
True,152,271,5,0,2015-06-02
True,107,271,12,1,
True,208,272,5,0,2015-09-03
True,183,272,6,0,2015-07-11
True,215,272,7,0,2015-09-14
True,107,272,7,1,
True,215,272,7,0,2015-09-14
True,217,272,7,1,
True,196,272,8,0,2015-09-01
True,196,272,8,0,2015-09-01
True,211,272,12,1,
True,223,273,1,1,
True,271,273,2,1,
True,271,273,3,1,
True,271,273,3,1,
True,218,273,3,1,
True,217,273,3,1,
True,271,273,3,1,
True,271,273,3,1,
True,218,273,3,1,
True,218,273,3,1,
True,218,273,3,0,2015-09-28
True,271,273,3,0,2015-09-28
True,224,273,7,1,
True,180,273,7,1,
True,205,273,7,0,2015-08-12
True,181,273,7,1,
True,215,273,7,1,
True,203,273,7,0,2015-08-12
True,232,273,14,1,
True,274,274,1,1,
True,217,274,3,1,
True,223,274,4,1,
True,226,274,5,1,
True,196,274,7,1,
True,250,274,7,0,2015-09-12
True,230,274,7,1,
True,196,274,7,1,
True,229,274,7,1,
True,159,274,7,1,
True,224,274,7,1,
True,229,274,7,1,
True,171,274,7,0,2015-06-22
True,173,275,2,1,
True,275,275,2,1,
True,202,275,4,1,
True,160,275,4,1,
True,255,275,7,1,
True,225,275,7,1,
True,255,275,7,1,
True,252,275,7,0,2015-09-09
True,212,275,7,1,
True,276,276,1,1,
True,189,276,1,0,2015-08-12
True,189,276,1,0,2015-08-12
True,189,276,1,0,2015-08-12
True,189,276,1,0,2015-08-12
True,162,276,1,1,
True,275,276,1,1,
True,271,276,1,1,
