Reservation Day,Check-in Day,Occupancy_duration,Decision,Cancel_Date,Type_Marked,Lead_Time
2023-01-01,2023-01-01,1,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,2,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,2,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,6,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,3,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,3,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,1,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,3,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,1,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,2,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,1,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,4,Confirmed,,Walk-in,0
2023-01-01,2023-01-01,1,Confirmed,,Walk-in,0
2023-01-01,2023-01-16,2,Cancel in reservation stage,2023-01-02,Reservation,15
2023-01-01,2023-02-24,3,Confirmed,,Reservation,54
2023-01-01,2023-05-16,6,Confirmed,,Reservation,135
2023-01-01,2023-08-13,2,Confirmed,,Reservation,224
2023-01-01,2023-02-19,6,Confirmed,,Reservation,49
2023-01-01,2023-02-08,7,Confirmed,,Reservation,38
2023-01-01,2023-01-04,2,Confirmed,,Reservation,3
2023-01-01,2023-04-13,2,Confirmed,,Reservation,102
2023-01-01,2023-02-16,3,Confirmed,,Reservation,46
2023-01-01,2023-01-17,2,Cancel in reservation stage,2023-01-01,Reservation,16
2023-01-01,2023-01-17,2,Cancel in reservation stage,2023-01-02,Reservation,16
2023-01-01,2023-06-10,5,Confirmed,,Reservation,160
2023-01-01,2023-07-07,1,Confirmed,,Reservation,187
2023-01-01,2023-04-03,1,Confirmed,,Reservation,92
2023-01-01,2023-10-15,7,Confirmed,,Reservation,287
2023-01-01,2023-03-27,7,Confirmed,,Reservation,85
2023-01-01,2023-04-07,2,Confirmed,,Reservation,96
2023-01-01,2023-01-23,2,Confirmed,,Reservation,22
2023-01-01,2023-01-17,7,Confirmed,,Reservation,16
2023-01-01,2023-05-03,5,Confirmed,,Reservation,122
2023-01-01,2023-07-01,4,Confirmed,,Reservation,181
2023-01-01,2023-01-30,1,Confirmed,,Reservation,29
2023-01-01,2023-01-17,1,Confirmed,,Reservation,16
2023-01-01,2023-07-17,5,Confirmed,,Reservation,197
2023-01-01,2023-01-05,2,Confirmed,,Reservation,4
2023-01-01,2023-01-02,1,Confirmed,,Reservation,1
2023-01-01,2023-01-20,1,Confirmed,,Reservation,19
2023-01-01,2023-01-30,7,Confirmed,,Reservation,29
2023-01-01,2023-11-02,6,Confirmed,,Reservation,305
2023-01-02,2023-01-02,1,Confirmed,,Walk-in,0
2023-01-02,2023-01-02,20,Confirmed,,Walk-in,0
2023-01-02,2023-01-02,2,Confirmed,,Walk-in,0
2023-01-02,2023-01-02,4,Confirmed,,Walk-in,0
2023-01-02,2023-01-02,5,Confirmed,,Walk-in,0
2023-01-02,2023-01-02,6,Confirmed,,Walk-in,0
2023-01-02,2023-01-02,18,Confirmed,,Walk-in,0
2023-01-02,2023-01-02,1,Confirmed,,Walk-in,0
2023-01-02,2023-01-02,1,Confirmed,,Walk-in,0
2023-01-02,2023-01-02,2,Confirmed,,Walk-in,0
2023-01-02,2023-01-02,1,Confirmed,,Walk-in,0
2023-01-02,2023-01-02,1,Confirmed,,Walk-in,0
2023-01-02,2023-01-02,2,Confirmed,,Walk-in,0
2023-01-02,2023-01-02,5,Confirmed,,Walk-in,0
2023-01-02,2023-04-16,1,Confirmed,,Reservation,104
2023-01-02,2023-04-05,1,Confirmed,,Reservation,93
2023-01-02,2023-04-04,3,Confirmed,,Reservation,92
2023-01-02,2023-03-24,14,Confirmed,,Reservation,81
2023-01-02,2023-02-18,2,Confirmed,,Reservation,47
2023-01-02,2023-03-27,8,Confirmed,,Reservation,84
2023-01-02,2023-03-09,16,Confirmed,,Reservation,66
2023-01-02,2023-04-14,4,Confirmed,,Reservation,102
2023-01-02,2023-01-04,4,Confirmed,,Reservation,2
2023-01-02,2023-02-07,1,Confirmed,,Reservation,36
2023-01-02,2023-05-01,4,Confirmed,,Reservation,119
2023-01-02,2023-01-12,3,Confirmed,,Reservation,10
2023-01-02,2023-05-08,4,Confirmed,,Reservation,126
2023-01-02,2023-06-20,4,Confirmed,,Reservation,169
2023-01-02,2023-07-07,3,Confirmed,,Reservation,186
2023-01-02,2023-02-11,3,Confirmed,,Reservation,40
2023-01-02,2023-12-17,3,Confirmed,,Reservation,349
2023-01-02,2023-01-04,2,Cancel in reservation stage,2023-01-02,Reservation,2
2023-01-02,2023-10-28,11,Confirmed,,Reservation,299
2023-01-02,2023-08-18,2,Cancel in reservation stage,2023-04-09,Reservation,228
2023-01-02,2023-08-24,1,Confirmed,,Reservation,234
2023-01-02,2023-01-05,1,Confirmed,,Reservation,3
2023-01-02,2023-01-13,11,Confirmed,,Reservation,11
2023-01-02,2023-01-25,2,Confirmed,,Reservation,23
2023-01-02,2023-01-20,1,Confirmed,,Reservation,18
2023-01-02,2023-04-24,1,Confirmed,,Reservation,112
2023-01-02,2023-01-11,6,Confirmed,,Reservation,9
2023-01-02,2023-01-06,2,Confirmed,,Reservation,4
2023-01-02,2023-07-08,3,Confirmed,,Reservation,187
2023-01-02,2023-01-11,1,Confirmed,,Reservation,9
2023-01-02,2023-01-06,2,Confirmed,,Reservation,4
2023-01-02,2023-01-04,2,Confirmed,,Reservation,2
2023-01-03,2023-01-03,6,Confirmed,,Walk-in,0
2023-01-03,2023-01-03,2,Confirmed,,Walk-in,0
2023-01-03,2023-01-03,3,Confirmed,,Walk-in,0
2023-01-03,2023-01-03,6,Confirmed,,Walk-in,0
2023-01-03,2023-01-03,14,Confirmed,,Walk-in,0
2023-01-03,2023-01-03,7,Confirmed,,Walk-in,0
2023-01-03,2023-01-03,2,Confirmed,,Walk-in,0
2023-01-03,2023-01-03,1,Confirmed,,Walk-in,0
2023-01-03,2023-01-03,2,Confirmed,,Walk-in,0
2023-01-03,2023-01-03,4,Confirmed,,Walk-in,0
2023-01-03,2023-01-03,2,Confirmed,,Walk-in,0
2023-01-03,2023-01-03,2,Confirmed,,Walk-in,0
2023-01-03,2023-01-03,6,Confirmed,,Walk-in,0
2023-01-03,2023-01-03,2,Confirmed,,Walk-in,0
2023-01-03,2023-01-03,6,Confirmed,,Walk-in,0
2023-01-03,2023-02-22,1,Confirmed,,Reservation,50
2023-01-03,2023-03-20,2,Confirmed,,Reservation,76
2023-01-03,2023-01-20,2,Confirmed,,Reservation,17
2023-01-03,2023-01-12,1,Confirmed,,Reservation,9
2023-01-03,2023-01-19,6,Confirmed,,Reservation,16
2023-01-03,2024-01-02,3,Cancel in check-in stage,2024-01-02,Reservation,364
2023-01-03,2023-02-08,2,Cancel in reservation stage,2023-01-08,Reservation,36
2023-01-03,2023-04-25,1,Confirmed,,Reservation,112
2023-01-03,2023-01-23,1,Confirmed,,Reservation,20
2023-01-03,2023-06-30,4,Confirmed,,Reservation,178
2023-01-03,2023-02-22,1,Confirmed,,Reservation,50
2023-01-03,2023-01-28,1,Confirmed,,Reservation,25
2023-01-03,2023-02-24,5,Confirmed,,Reservation,52
2023-01-03,2023-02-28,3,Confirmed,,Reservation,56
2023-01-03,2023-06-14,6,Confirmed,,Reservation,162
2023-01-03,2023-01-04,2,Confirmed,,Reservation,1
2023-01-03,2023-04-03,3,Confirmed,,Reservation,90
2023-01-03,2023-01-05,3,Confirmed,,Reservation,2
2023-01-03,2023-08-11,1,Confirmed,,Reservation,220
2023-01-03,2023-05-19,3,Confirmed,,Reservation,136
2023-01-03,2023-01-15,5,Confirmed,,Reservation,12
2023-01-03,2023-06-02,5,Confirmed,,Reservation,150
2023-01-03,2023-04-27,8,Confirmed,,Reservation,114
2023-01-03,2023-07-29,5,Confirmed,,Reservation,207
2023-01-03,2023-04-02,2,Confirmed,,Reservation,89
2023-01-03,2023-05-27,1,Confirmed,,Reservation,144
2023-01-03,2023-05-10,14,Confirmed,,Reservation,127
2023-01-03,2023-02-19,2,Confirmed,,Reservation,47
2023-01-03,2023-02-08,1,Cancel in reservation stage,2023-01-08,Reservation,36
2023-01-04,2023-01-04,1,Confirmed,,Walk-in,0
2023-01-04,2023-01-04,2,Confirmed,,Walk-in,0
2023-01-04,2023-01-04,4,Confirmed,,Walk-in,0
2023-01-04,2023-01-04,4,Confirmed,,Walk-in,0
2023-01-04,2023-01-04,5,Confirmed,,Walk-in,0
2023-01-04,2023-01-04,3,Confirmed,,Walk-in,0
2023-01-04,2023-01-04,7,Confirmed,,Walk-in,0
2023-01-04,2023-01-04,5,Confirmed,,Walk-in,0
2023-01-04,2023-01-04,5,Confirmed,,Walk-in,0
2023-01-04,2023-01-04,1,Confirmed,,Walk-in,0
2023-01-04,2023-01-04,1,Confirmed,,Walk-in,0
2023-01-04,2023-01-04,1,Confirmed,,Walk-in,0
2023-01-04,2023-02-13,7,Confirmed,,Reservation,40
2023-01-04,2023-01-31,1,Confirmed,,Reservation,27
2023-01-04,2023-01-17,2,Confirmed,,Reservation,13
2023-01-04,2023-01-11,3,Confirmed,,Reservation,7
2023-01-04,2023-03-03,3,Confirmed,,Reservation,58
2023-01-04,2023-01-15,3,Confirmed,,Reservation,11
2023-01-04,2023-02-05,4,Confirmed,,Reservation,32
2023-01-04,2023-07-25,4,Confirmed,,Reservation,202
2023-01-04,2023-02-13,1,Confirmed,,Reservation,40
2023-01-04,2023-07-08,3,Confirmed,,Reservation,185
2023-01-04,2023-01-11,1,Cancel in reservation stage,2023-01-04,Reservation,7
2023-01-04,2023-04-20,1,Confirmed,,Reservation,106
2023-01-04,2023-03-21,9,Confirmed,,Reservation,76
2023-01-04,2023-01-06,2,Confirmed,,Reservation,2
2023-01-04,2023-04-04,3,Confirmed,,Reservation,90
2023-01-04,2023-07-27,2,Confirmed,,Reservation,204
2023-01-04,2023-02-07,2,Confirmed,,Reservation,34
2023-01-04,2023-01-08,2,Confirmed,,Reservation,4
2023-01-04,2023-01-21,5,Confirmed,,Reservation,17
2023-01-04,2023-02-11,2,Confirmed,,Reservation,38
2023-01-04,2023-01-11,4,Confirmed,,Reservation,7
2023-01-04,2023-01-05,2,Confirmed,,Reservation,1
2023-01-04,2023-04-19,3,Confirmed,,Reservation,105
2023-01-04,2023-01-07,1,Confirmed,,Reservation,3
2023-01-04,2023-01-08,3,Confirmed,,Reservation,4
2023-01-04,2023-08-06,3,Confirmed,,Reservation,214
2023-01-04,2023-02-06,4,Confirmed,,Reservation,33
2023-01-04,2023-01-07,1,Confirmed,,Reservation,3
2023-01-04,2023-07-31,2,Confirmed,,Reservation,208
2023-01-04,2023-09-30,1,Confirmed,,Reservation,269
2023-01-04,2023-05-23,1,Confirmed,,Reservation,139
2023-01-04,2023-04-11,2,Confirmed,,Reservation,97
2023-01-04,2023-03-11,2,Confirmed,,Reservation,66
2023-01-04,2023-07-28,6,Confirmed,,Reservation,205
2023-01-05,2023-01-05,8,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,1,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,6,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,2,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,3,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,2,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,3,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,2,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,1,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,1,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,1,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,12,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,10,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,2,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,4,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,2,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,4,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,5,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,9,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,2,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,5,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,1,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,14,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,1,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,3,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,4,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,4,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,1,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,9,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,1,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,3,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,1,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,2,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,3,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,2,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,1,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,1,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,2,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,5,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,7,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,1,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,2,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,1,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,1,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,4,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,3,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,1,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,1,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,1,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,6,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,11,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,1,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,1,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,6,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,8,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,2,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,1,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,1,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,3,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,2,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,1,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,3,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,1,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,5,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,2,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,1,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,3,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,2,Confirmed,,Walk-in,0
2023-01-05,2023-01-05,11,Confirmed,,Walk-in,0
2023-01-05,2023-05-13,7,Confirmed,,Reservation,128
2023-01-05,2023-02-18,5,Confirmed,,Reservation,44
2023-01-05,2023-01-22,8,Cancel in reservation stage,2023-01-19,Reservation,17
2023-01-05,2023-09-19,1,Confirmed,,Reservation,257
2023-01-05,2023-01-07,2,Confirmed,,Reservation,2
2023-01-05,2023-02-13,1,Confirmed,,Reservation,39
2023-01-05,2023-07-12,1,Cancel in check-in stage,2023-07-12,Reservation,188
2023-01-05,2023-01-27,2,Confirmed,,Reservation,22
2023-01-05,2023-01-07,2,Confirmed,,Reservation,2
2023-01-05,2023-01-19,1,Confirmed,,Reservation,14
2023-01-05,2023-10-28,1,Confirmed,,Reservation,296
2023-01-05,2023-01-24,6,Confirmed,,Reservation,19
2023-01-05,2023-07-29,1,Confirmed,,Reservation,205
2023-01-05,2023-02-08,1,Cancel in reservation stage,2023-01-09,Reservation,34
2023-01-05,2023-07-03,3,Confirmed,,Reservation,179
2023-01-05,2023-01-29,3,Confirmed,,Reservation,24
2023-01-05,2023-02-19,3,Confirmed,,Reservation,45
2023-01-05,2023-01-19,4,Confirmed,,Reservation,14
2023-01-05,2023-03-19,1,Confirmed,,Reservation,73
2023-01-05,2023-01-06,14,Confirmed,,Reservation,1
2023-01-05,2023-01-20,1,Confirmed,,Reservation,15
2023-01-05,2023-01-10,12,Confirmed,,Reservation,5
2023-01-05,2023-08-21,4,Confirmed,,Reservation,228
2023-01-05,2023-04-01,3,Confirmed,,Reservation,86
2023-01-05,2023-01-28,1,Confirmed,,Reservation,23
2023-01-05,2023-01-23,4,Confirmed,,Reservation,18
2023-01-05,2023-01-07,3,Confirmed,,Reservation,2
2023-01-05,2023-01-07,2,Confirmed,,Reservation,2
2023-01-05,2023-01-09,1,Confirmed,,Reservation,4
2023-01-05,2023-02-18,1,Confirmed,,Reservation,44
2023-01-05,2023-04-23,1,Confirmed,,Reservation,108
2023-01-05,2023-03-25,2,Cancel in reservation stage,2023-01-07,Reservation,79
2023-01-06,2023-01-06,2,Confirmed,,Walk-in,0
2023-01-06,2023-01-06,1,Confirmed,,Walk-in,0
2023-01-06,2023-01-06,4,Confirmed,,Walk-in,0
2023-01-06,2023-01-06,1,Confirmed,,Walk-in,0
2023-01-06,2023-01-06,3,Confirmed,,Walk-in,0
2023-01-06,2023-01-06,4,Confirmed,,Walk-in,0
2023-01-06,2023-01-06,7,Confirmed,,Walk-in,0
2023-01-06,2023-01-06,5,Confirmed,,Walk-in,0
2023-01-06,2023-01-06,4,Confirmed,,Walk-in,0
2023-01-06,2023-01-06,4,Confirmed,,Walk-in,0
2023-01-06,2023-01-06,9,Confirmed,,Walk-in,0
2023-01-06,2023-01-28,4,Confirmed,,Reservation,22
2023-01-06,2023-05-24,4,Confirmed,,Reservation,138
2023-01-06,2023-01-11,8,Confirmed,,Reservation,5
2023-01-06,2023-01-11,4,Confirmed,,Reservation,5
2023-01-06,2023-05-15,1,Cancel in reservation stage,2023-02-09,Reservation,129
2023-01-06,2023-08-27,3,Confirmed,,Reservation,233
2023-01-06,2023-01-10,2,Confirmed,,Reservation,4
2023-01-06,2023-02-13,1,Confirmed,,Reservation,38
2023-01-06,2023-01-11,13,Confirmed,,Reservation,5
2023-01-06,2023-03-14,16,Confirmed,,Reservation,67
2023-01-06,2023-07-19,2,Confirmed,,Reservation,194
2023-01-06,2023-04-28,2,Cancel in check-in stage,2023-04-28,Reservation,112
2023-01-06,2023-04-12,3,Confirmed,,Reservation,96
2023-01-06,2023-05-10,6,Confirmed,,Reservation,124
2023-01-06,2023-05-25,1,Cancel in reservation stage,2023-01-17,Reservation,139
2023-01-06,2023-02-23,6,Confirmed,,Reservation,48
2023-01-06,2023-01-13,1,Confirmed,,Reservation,7
2023-01-06,2023-03-28,1,Cancel in reservation stage,2023-01-09,Reservation,81
2023-01-06,2023-03-28,1,Confirmed,,Reservation,81
2023-01-06,2023-07-26,2,Confirmed,,Reservation,201
2023-01-06,2023-01-26,3,Confirmed,,Reservation,20
2023-01-06,2023-07-17,4,Confirmed,,Reservation,192
2023-01-06,2023-04-15,1,Confirmed,,Reservation,99
2023-01-06,2023-03-20,7,Cancel in reservation stage,2023-01-19,Reservation,73
2023-01-06,2023-01-08,4,Confirmed,,Reservation,2
2023-01-06,2023-04-29,5,Confirmed,,Reservation,113
2023-01-06,2023-02-17,1,Cancel in check-in stage,2023-02-17,Reservation,42
2023-01-07,2023-01-07,1,Confirmed,,Walk-in,0
2023-01-07,2023-01-07,2,Confirmed,,Walk-in,0
2023-01-07,2023-01-07,3,Confirmed,,Walk-in,0
2023-01-07,2023-01-07,1,Confirmed,,Walk-in,0
2023-01-07,2023-01-07,4,Confirmed,,Walk-in,0
2023-01-07,2023-01-07,18,Confirmed,,Walk-in,0
2023-01-07,2023-01-07,2,Confirmed,,Walk-in,0
2023-01-07,2023-01-07,2,Confirmed,,Walk-in,0
2023-01-07,2023-01-07,2,Confirmed,,Walk-in,0
2023-01-07,2023-01-07,1,Confirmed,,Walk-in,0
2023-01-07,2023-01-07,7,Confirmed,,Walk-in,0
2023-01-07,2023-01-07,2,Confirmed,,Walk-in,0
2023-01-07,2023-01-07,2,Confirmed,,Walk-in,0
2023-01-07,2023-01-07,4,Confirmed,,Walk-in,0
2023-01-07,2023-01-07,2,Confirmed,,Walk-in,0
2023-01-07,2023-01-07,4,Confirmed,,Walk-in,0
2023-01-07,2023-01-07,1,Confirmed,,Walk-in,0
2023-01-07,2023-01-07,5,Confirmed,,Walk-in,0
2023-01-07,2023-01-07,9,Confirmed,,Walk-in,0
2023-01-07,2023-01-07,4,Confirmed,,Walk-in,0
2023-01-07,2023-01-07,9,Confirmed,,Walk-in,0
2023-01-07,2023-01-07,1,Confirmed,,Walk-in,0
2023-01-07,2023-01-07,2,Confirmed,,Walk-in,0
2023-01-07,2023-02-16,1,Confirmed,,Reservation,40
2023-01-07,2023-01-18,1,Cancel in reservation stage,2023-01-09,Reservation,11
2023-01-07,2023-03-23,2,Confirmed,,Reservation,75
2023-01-07,2023-01-16,2,Confirmed,,Reservation,9
2023-01-07,2023-01-11,5,Confirmed,,Reservation,4
2023-01-07,2023-08-04,2,Confirmed,,Reservation,209
2023-01-07,2023-08-04,1,Confirmed,,Reservation,209
2023-01-07,2023-01-14,11,Confirmed,,Reservation,7
2023-01-07,2023-05-21,2,Confirmed,,Reservation,134
2023-01-07,2023-03-28,4,Confirmed,,Reservation,80
2023-01-07,2023-07-18,1,Confirmed,,Reservation,192
2023-01-07,2023-01-11,1,Cancel in check-in stage,2023-01-11,Reservation,4
2023-01-07,2023-02-23,2,Cancel in reservation stage,2023-02-18,Reservation,47
2023-01-07,2023-11-11,1,Confirmed,,Reservation,308
2023-01-07,2023-01-09,6,Confirmed,,Reservation,2
2023-01-07,2023-02-09,3,Confirmed,,Reservation,33
2023-01-07,2023-04-13,3,Confirmed,,Reservation,96
2023-01-07,2023-04-04,3,Confirmed,,Reservation,87
2023-01-07,2023-04-04,3,Confirmed,,Reservation,87
2023-01-07,2023-04-26,2,Confirmed,,Reservation,109
2023-01-07,2023-01-20,2,Cancel in reservation stage,2023-01-11,Reservation,13
2023-01-07,2023-01-10,3,Confirmed,,Reservation,3
2023-01-07,2023-03-21,1,Cancel in reservation stage,2023-01-08,Reservation,73
2023-01-07,2023-01-20,3,Cancel in reservation stage,2023-01-19,Reservation,13
2023-01-07,2023-01-11,1,Cancel in check-in stage,2023-01-11,Reservation,4
2023-01-07,2023-03-11,2,Confirmed,,Reservation,63
2023-01-07,2023-05-04,1,Confirmed,,Reservation,117
2023-01-07,2023-03-20,1,Confirmed,,Reservation,72
2023-01-07,2023-04-17,2,Confirmed,,Reservation,100
2023-01-07,2023-01-08,1,Cancel in reservation stage,2023-01-07,Reservation,1
2023-01-07,2023-05-25,2,Confirmed,,Reservation,138
2023-01-07,2023-01-12,5,Confirmed,,Reservation,5
2023-01-08,2023-01-08,2,Confirmed,,Walk-in,0
2023-01-08,2023-01-08,5,Confirmed,,Walk-in,0
2023-01-08,2023-01-08,15,Confirmed,,Walk-in,0
2023-01-08,2023-01-08,1,Confirmed,,Walk-in,0
2023-01-08,2023-01-08,6,Confirmed,,Walk-in,0
2023-01-08,2023-01-08,6,Confirmed,,Walk-in,0
2023-01-08,2023-02-19,1,Confirmed,,Reservation,42
2023-01-08,2023-02-07,2,Confirmed,,Reservation,30
2023-01-08,2023-08-09,6,Cancel in reservation stage,2023-03-08,Reservation,213
2023-01-08,2023-01-17,3,Confirmed,,Reservation,9
2023-01-08,2023-03-13,1,Confirmed,,Reservation,64
2023-01-08,2023-02-16,1,Confirmed,,Reservation,39
2023-01-08,2023-10-05,14,Confirmed,,Reservation,270
2023-01-08,2023-02-10,2,Confirmed,,Reservation,33
2023-01-08,2023-02-10,3,Confirmed,,Reservation,33
2023-01-08,2023-03-02,3,Confirmed,,Reservation,53
2023-01-08,2023-06-02,2,Confirmed,,Reservation,145
2023-01-08,2023-03-24,4,Confirmed,,Reservation,75
2023-01-08,2023-07-08,3,Confirmed,,Reservation,181
2023-01-08,2023-01-16,2,Confirmed,,Reservation,8
2023-01-08,2023-03-11,1,Confirmed,,Reservation,62
2023-01-08,2023-02-01,1,Confirmed,,Reservation,24
2023-01-08,2023-03-02,3,Confirmed,,Reservation,53
2023-01-08,2023-02-18,7,Confirmed,,Reservation,41
2023-01-08,2023-01-09,3,Confirmed,,Reservation,1
2023-01-08,2023-04-03,2,Confirmed,,Reservation,85
2023-01-08,2023-12-04,1,Confirmed,,Reservation,330
2023-01-08,2023-01-22,2,Confirmed,,Reservation,14
