Type,Reservation Day,Check-in Day,Occupancy_duration,Decision
True,96,195,7,0
True,202,195,7,1
True,202,195,7,1
True,101,195,9,0
True,101,195,9,0
True,204,195,9,1
True,206,195,11,1
True,196,195,1,1
True,184,196,3,0
True,198,196,2,1
True,198,196,2,1
True,198,196,2,1
True,198,196,2,1
True,198,196,2,1
True,198,196,2,1
True,198,196,2,1
True,194,196,2,0
True,198,196,2,1
True,198,196,2,1
True,198,196,2,1
True,198,196,2,1
True,198,196,2,1
True,198,196,2,1
True,198,196,2,1
True,198,196,2,1
True,198,196,2,1
True,198,196,2,1
True,198,196,2,1
True,198,196,2,1
True,199,197,2,1
True,156,197,1,0
True,183,197,2,0
True,199,197,2,1
True,199,197,2,1
True,194,197,3,0
True,170,197,3,0
True,181,197,3,0
True,200,197,3,1
True,201,197,4,1
True,203,197,6,1
True,204,197,7,1
True,205,197,8,1
True,198,198,0,1
True,200,198,2,1
True,200,198,2,1
True,187,198,2,0
True,194,198,2,0
True,200,198,2,1
True,198,198,2,1
True,200,198,2,1
True,198,198,2,1
True,185,198,3,0
True,203,198,5,1
True,203,198,5,1
True,203,198,5,1
True,203,198,5,1
True,203,198,5,1
True,203,198,5,1
True,203,198,5,1
True,203,198,5,1
True,205,198,7,1
True,205,198,7,1
True,205,198,7,1
True,205,198,7,1
True,206,198,8,1
True,201,198,3,1
True,201,198,3,1
True,201,198,3,1
True,201,198,3,1
True,201,198,3,1
True,201,198,3,1
True,201,198,3,1
True,202,198,4,1
True,205,199,6,1
True,203,199,4,1
True,119,199,4,0
True,204,199,5,1
True,206,199,7,1
True,206,199,7,1
True,206,199,7,1
True,207,199,8,1
True,207,199,8,1
True,213,199,14,1
True,201,200,1,1
True,201,200,1,1
True,201,200,1,1
True,201,200,1,1
True,204,200,4,1
True,205,200,5,1
True,147,200,7,0
True,207,200,7,1
True,206,200,6,1
True,183,200,6,0
True,202,201,1,1
True,201,201,0,1
True,201,201,0,1
True,205,201,4,1
True,205,201,4,1
True,205,201,4,1
True,205,201,4,1
True,206,201,5,1
True,207,201,6,1
True,208,201,7,1
True,208,201,7,1
True,131,201,7,0
True,153,201,9,0
True,195,201,11,0
True,195,201,11,0
True,204,202,2,1
True,152,202,3,0
True,206,202,4,1
True,208,202,6,1
True,209,202,7,1
True,210,202,8,1
True,212,202,10,1
True,112,203,4,0
True,156,204,1,0
True,188,204,3,0
True,203,205,1,0
True,207,205,2,1
True,207,205,2,1
True,207,205,2,1
True,207,205,2,1
True,207,205,2,1
True,168,205,3,0
True,209,205,4,1
True,159,205,4,0
True,209,205,4,1
True,210,205,5,1
True,210,205,5,1
True,212,205,7,1
True,195,205,7,0
True,112,205,7,0
True,214,205,9,1
True,177,205,10,0
True,202,205,14,0
True,209,206,3,1
True,207,206,1,1
True,207,206,1,1
True,207,206,1,1
True,192,206,1,0
True,195,206,2,0
True,191,206,2,0
True,204,206,2,0
True,208,206,2,1
True,209,206,3,1
True,210,206,4,1
True,211,206,5,1
True,211,206,5,1
True,177,206,5,0
True,212,206,6,1
True,153,206,6,0
True,213,206,7,1
True,178,206,7,0
True,132,206,7,0
True,107,206,7,0
True,213,206,7,1
True,213,206,7,1
True,184,206,8,0
True,214,206,8,1
True,180,206,9,0
True,105,206,9,0
True,216,206,10,1
True,184,206,14,0
True,213,206,7,1
True,84,206,7,0
True,169,207,5,0
True,210,207,3,1
True,210,207,3,1
True,154,207,6,0
True,154,207,6,0
True,209,207,2,1
True,168,207,8,0
True,168,207,8,0
True,214,207,7,1
True,208,208,0,1
True,166,208,2,0
True,211,208,3,1
True,211,208,3,1
True,211,208,3,1
True,168,208,4,0
True,212,208,4,1
True,212,208,4,1
True,212,208,4,1
True,212,208,4,1
True,212,208,4,1
True,180,208,4,0
True,129,208,4,0
True,212,208,4,1
True,176,208,5,0
True,213,208,5,1
True,187,208,5,0
True,76,208,6,0
True,214,208,6,1
True,214,208,6,1
True,133,208,7,0
True,215,208,7,1
True,213,209,4,1
True,213,209,4,1
True,215,209,6,1
True,219,209,10,1
True,94,210,4,0
True,214,210,4,1
True,215,210,5,1
True,208,210,5,0
True,215,210,5,1
True,208,210,5,0
True,215,210,5,1
True,215,210,5,1
True,143,210,5,0
True,217,210,7,1
True,216,210,6,1
True,105,210,7,0
True,168,210,8,0
True,212,211,1,1
True,211,211,1,0
True,211,211,1,0
True,213,211,2,1
True,187,211,3,0
True,162,211,3,0
True,215,211,4,1
True,187,211,3,0
True,162,211,4,0
True,159,211,5,0
True,212,212,0,1
True,187,212,1,0
True,214,212,2,1
True,212,212,2,0
True,187,212,2,0
True,167,212,2,0
True,202,212,2,0
True,214,212,2,1
True,196,212,3,0
True,195,212,3,0
True,192,212,3,0
True,196,212,3,0
True,195,212,3,0
True,216,212,4,1
True,190,212,4,0
True,215,213,2,1
True,132,213,3,0
True,132,213,3,0
True,197,213,1,0
True,220,213,7,1
True,157,213,6,0
True,142,213,7,0
True,139,213,7,0
True,157,213,7,0
True,142,213,8,0
True,227,213,14,1
True,189,214,1,0
True,213,214,2,0
True,220,214,6,1
True,221,214,7,1
True,221,214,7,1
True,87,215,7,0
True,187,215,7,0
True,204,215,7,0
True,216,216,0,1
True,217,216,1,1
True,187,216,3,0
True,223,216,7,1
True,223,216,7,1
True,223,216,7,1
True,218,217,1,1
True,185,217,3,0
True,221,217,4,1
True,221,217,4,1
True,221,217,4,1
True,224,217,7,1
True,112,217,8,0
True,156,218,1,0
True,219,218,1,1
True,140,218,3,0
True,223,218,5,1
True,224,218,6,1
True,220,219,1,1
True,221,219,2,1
True,223,219,4,1
True,195,219,4,0
True,223,219,4,1
True,178,219,6,0
True,134,219,7,0
True,134,219,7,0
True,228,219,9,1
True,221,220,1,1
True,190,220,2,0
True,223,220,3,1
True,224,220,4,1
True,96,220,4,0
True,220,220,7,1
True,227,220,7,1
True,136,220,7,0
True,220,220,7,0
True,227,220,7,1
True,227,220,7,1
True,134,220,7,0
True,222,221,1,1
True,173,221,5,0
True,96,221,5,0
True,147,221,6,0
True,198,221,6,0
True,228,221,7,1
True,228,221,7,1
True,228,221,7,1
True,228,221,7,1
True,154,221,14,0
True,154,221,14,0
True,155,222,2,0
True,225,222,3,1
True,228,222,6,1
True,153,222,6,0
True,189,222,6,0
True,195,222,7,0
True,223,223,0,1
True,217,223,2,0
True,201,223,2,0
True,162,223,3,0
True,162,223,3,0
True,162,223,3,0
True,143,223,4,0
True,181,223,5,0
True,230,223,7,1
True,155,223,7,0
True,181,223,5,0
True,126,223,5,0
True,143,223,7,0
True,143,223,7,0
True,224,224,1,1
True,227,224,3,1
True,166,224,10,0
True,234,224,10,1
True,234,224,10,1
True,229,224,5,1
True,168,224,14,0
True,226,225,1,1
True,226,225,1,1
True,173,225,2,0
True,153,225,3,0
True,224,225,3,0
True,224,225,3,0
True,229,225,4,1
True,210,225,5,0
True,210,225,5,0
True,223,225,7,0
True,227,226,1,1
True,227,226,1,1
True,228,226,2,1
True,228,226,2,1
True,229,226,3,1
True,149,226,4,0
True,230,226,4,1
True,233,226,7,1
True,233,226,7,1
True,218,227,5,0
True,217,227,5,0
True,232,227,5,1
True,217,227,5,0
True,232,227,5,1
True,217,227,5,0
True,155,227,6,0
True,233,227,6,1
True,234,227,7,1
True,202,227,7,0
True,234,227,7,1
True,202,227,7,0
True,162,227,7,0
True,234,227,7,1
True,216,227,7,0
True,234,227,7,1
True,241,227,14,1
True,229,228,1,1
True,229,228,1,1
True,229,228,1,1
True,229,228,1,1
True,229,228,1,1
True,229,228,1,1
True,229,228,1,1
True,229,228,1,1
True,90,228,2,0
True,224,228,4,0
True,224,228,4,0
True,149,228,10,0
True,170,228,14,0
True,121,229,5,0
True,210,229,4,0
True,104,229,5,0
True,133,229,5,0
True,235,229,6,1
True,236,229,7,1
True,170,229,7,0
True,83,229,7,0
True,142,229,7,0
True,236,229,7,1
True,236,229,7,1
True,208,229,7,0
True,132,229,7,0
True,236,229,7,1
True,132,229,7,0
True,215,229,8,0
True,182,229,10,0
True,219,230,3,0
True,231,230,1,1
True,233,230,3,1
True,236,230,6,1
True,236,230,6,1
True,141,230,5,0
True,237,230,7,1
True,240,230,10,1
True,232,231,1,1
True,235,231,4,1
True,236,231,5,1
True,236,231,5,1
True,212,231,5,0
True,232,232,0,1
True,232,232,0,1
True,235,232,3,1
True,181,232,6,0
True,189,232,7,0
True,235,233,2,1
True,235,233,2,1
True,235,233,2,1
True,235,233,2,1
True,173,233,3,0
True,198,233,3,0
True,237,233,4,1
True,238,233,5,1
True,238,233,5,1
True,239,233,6,1
True,239,233,6,1
True,222,233,6,0
True,239,233,6,1
True,208,233,7,0
True,240,233,7,1
True,201,233,9,0
True,235,234,1,1
True,231,234,1,0
True,240,234,6,1
True,83,234,7,0
True,163,234,7,0
True,241,234,7,1
True,241,234,7,1
True,190,234,7,0
True,222,234,7,0
True,241,234,7,1
True,153,234,7,0
True,238,234,4,1
True,204,234,4,0
True,239,234,5,1
True,239,234,5,1
True,225,234,6,0
True,238,235,3,1
True,223,235,5,0
True,183,235,5,0
True,240,235,5,1
True,240,235,5,1
True,195,235,6,0
True,242,235,7,1
True,208,235,7,0
True,242,235,7,1
True,202,235,7,0
True,202,235,7,0
True,225,235,10,0
True,230,235,10,0
True,237,236,1,1
True,237,236,1,1
True,237,236,1,1
True,237,236,1,1
True,238,236,2,1
True,223,236,2,0
True,225,236,3,0
True,234,236,3,0
True,215,236,4,0
True,210,236,5,0
True,222,237,5,0
True,222,237,5,0
True,166,237,1,0
True,166,237,1,0
True,238,238,0,1
True,239,238,1,1
True,237,238,1,0
True,239,238,1,1
True,196,238,4,0
True,249,238,11,1
True,240,239,1,1
True,242,239,3,1
True,187,239,3,0
True,183,239,4,0
True,198,239,4,0
True,229,239,4,0
True,243,239,4,1
True,183,239,4,0
True,133,239,7,0
True,133,239,7,0
True,226,239,7,0
True,246,239,7,1
True,226,239,7,0
True,241,240,1,1
True,225,240,1,0
True,208,240,2,0
True,242,240,2,1
True,242,240,2,1
True,182,240,2,0
True,242,240,2,1
True,243,240,3,1
True,236,240,3,0
True,243,240,3,1
True,243,240,3,1
True,243,240,3,1
True,243,240,3,1
True,241,240,1,1
True,242,240,2,1
True,187,240,2,0
True,245,240,5,1
True,240,240,5,0
True,225,240,6,0
True,246,240,6,1
True,247,240,7,1
True,245,240,5,1
True,245,240,5,1
True,243,241,2,1
True,243,241,2,1
True,244,241,3,1
True,244,241,3,1
True,242,241,1,1
True,245,241,4,1
True,245,241,4,1
True,218,241,5,0
True,246,241,5,1
True,215,241,6,0
True,243,242,1,1
True,244,242,2,1
True,244,242,2,1
True,236,242,3,0
True,245,242,3,1
True,245,242,3,1
True,246,242,4,1
True,201,242,7,0
True,249,242,7,1
True,226,242,12,0
True,244,243,1,1
True,245,243,2,1
True,245,243,2,1
True,245,243,2,1
True,246,243,3,1
True,243,243,3,1
True,206,243,3,0
True,246,243,3,1
True,184,243,6,0
True,250,243,7,1
True,203,244,2,0
True,247,244,3,1
True,247,244,3,1
True,248,244,4,1
True,249,244,5,1
True,246,244,2,1
True,249,244,5,1
True,250,244,6,1
True,251,244,7,1
True,251,244,7,1
True,222,244,7,0
True,252,244,8,1
True,254,244,10,1
True,246,245,1,1
True,250,245,5,1
True,250,245,5,1
True,244,245,7,0
True,248,246,2,1
True,249,246,3,1
True,249,246,3,1
True,247,246,1,1
True,249,246,3,1
True,249,246,3,1
True,249,246,3,1
True,249,246,3,1
True,249,246,3,1
True,2,246,3,0
True,250,246,4,1
True,250,246,4,1
True,322,246,4,0
True,247,247,1,0
True,248,247,1,1
True,249,247,2,1
True,251,247,4,1
True,257,247,10,1
True,253,247,6,1
True,2,248,7,0
True,255,248,7,1
True,195,248,7,0
True,255,248,7,1
True,255,248,7,1
True,251,249,2,1
True,133,249,2,0
True,252,249,3,1
True,253,249,4,1
True,218,249,1,0
True,243,249,5,0
True,180,249,5,0
True,254,249,5,1
True,212,249,5,0
True,255,249,6,1
True,237,249,6,0
True,255,249,6,1
True,255,249,6,1
True,256,249,7,1
True,263,249,14,1
True,18,250,3,0
True,254,250,4,1
True,255,250,5,1
True,202,250,5,0
True,255,250,5,1
True,256,250,6,1
True,248,250,6,0
True,216,250,7,0
True,239,250,7,0
True,296,250,46,1
True,250,250,10,1
True,250,250,10,1
True,253,251,2,1
True,22,251,3,0
True,22,251,3,0
True,22,251,3,0
True,240,251,4,0
True,222,251,4,0
True,255,251,4,1
True,258,251,7,1
True,1,251,14,0
True,252,252,1,0
True,253,252,1,1
True,253,252,1,1
True,252,252,1,0
True,254,252,2,1
True,255,252,3,1
True,253,252,1,1
True,252,252,5,0
True,258,252,6,1
True,258,252,6,1
True,259,252,7,1
True,259,252,7,1
True,119,252,9,0
True,204,252,9,0
True,119,252,9,0
True,257,252,5,1
True,257,252,5,1
True,256,253,3,1
True,257,253,4,1
True,258,253,5,1
True,260,253,7,1
True,254,253,1,1
True,255,253,2,1
True,131,253,2,0
True,255,253,2,1
True,260,253,7,1
True,260,253,7,1
True,260,253,7,1
True,260,253,7,1
True,267,253,14,1
True,255,254,1,1
True,255,254,1,1
True,255,254,1,1
True,255,254,1,1
True,255,254,1,1
True,256,254,2,1
True,259,254,5,1
True,261,254,7,1
True,202,254,7,0
True,261,254,7,1
True,264,254,10,1
True,174,255,1,0
True,218,255,4,0
True,129,255,4,0
True,261,255,6,1
True,238,255,6,0
True,262,255,7,1
True,2,255,7,0
True,273,255,18,1
True,262,255,7,1
True,257,256,1,1
True,140,256,2,0
True,129,256,3,0
True,260,256,4,1
True,222,256,4,0
True,222,256,4,0
True,136,256,6,0
True,264,256,8,1
True,267,256,11,1
True,259,257,2,1
True,262,257,5,1
True,232,257,5,0
True,263,257,6,1
True,263,257,6,1
True,245,258,4,0
True,229,258,4,0
True,263,258,5,1
True,272,258,14,1
True,147,258,15,0
True,260,259,1,1
True,260,259,1,1
True,260,259,1,1
True,260,259,1,1
True,260,259,1,1
True,260,259,1,1
True,261,259,2,1
True,261,259,2,1
True,262,259,3,1
True,262,259,3,1
True,262,259,3,1
True,229,259,4,0
True,139,259,4,0
True,264,259,5,1
True,264,259,5,1
True,266,259,7,1
True,201,259,6,0
True,164,259,7,0
True,261,260,1,1
True,262,260,2,1
True,260,260,0,1
True,258,260,2,0
True,264,260,4,1
True,264,260,4,1
True,264,260,4,1
True,264,260,4,1
True,264,260,4,1
True,265,260,5,1
True,212,260,5,0
True,264,260,4,1
True,264,260,4,1
True,201,260,7,0
True,267,260,7,1
True,267,260,7,1
True,264,261,3,1
True,230,261,3,0
True,224,261,3,0
True,268,261,7,1
True,189,261,9,0
True,264,262,2,1
True,153,262,5,0
True,2,262,7,0
True,208,262,7,0
True,272,262,10,1
True,272,262,10,1
True,222,263,4,0
True,212,263,6,0
True,108,263,7,0
True,270,263,7,1
True,108,263,7,0
True,270,263,7,1
True,274,263,11,1
True,274,263,11,1
True,230,264,2,0
True,252,264,2,0
True,261,264,2,0
True,266,264,2,1
True,230,264,2,0
True,230,264,2,0
True,232,264,2,0
True,230,264,2,0
True,230,264,2,0
True,266,264,2,1
True,267,264,3,1
True,2,264,4,0
True,192,264,5,0
True,210,264,6,0
True,271,264,7,1
True,271,264,7,1
True,274,264,10,1
True,267,265,2,1
True,112,265,5,0
True,251,265,7,0
True,272,265,7,1
True,272,265,7,1
True,272,265,7,1
True,267,266,1,1
True,267,266,1,1
True,267,266,1,1
True,265,266,1,0
True,265,266,1,0
True,268,266,2,1
True,271,266,5,1
True,257,266,4,0
True,273,266,7,1
True,269,267,2,1
True,270,267,3,1
True,268,267,1,1
True,2,267,4,0
True,272,267,5,1
True,272,267,5,1
True,274,267,7,1
True,281,267,14,1
True,269,268,1,1
True,269,268,1,1
True,269,268,1,1
True,269,268,1,1
True,170,268,2,0
True,243,268,6,0
True,275,268,7,1
True,271,269,2,1
True,198,269,2,0
True,236,269,2,0
True,239,269,3,0
True,239,269,3,0
True,275,269,6,1
True,2,269,7,0
True,276,269,7,1
True,259,269,8,0
True,216,270,3,0
True,277,270,7,1
True,198,270,7,0
True,201,270,7,0
True,277,270,7,1
True,280,270,10,1
True,284,270,14,1
True,272,271,1,1
True,273,271,2,1
True,275,271,4,1
True,201,271,4,0
True,275,271,4,1
True,187,271,4,0
True,278,271,7,1
True,153,271,5,0
True,283,271,12,1
True,246,272,5,0
True,192,272,6,0
True,257,272,7,0
True,279,272,7,1
True,257,272,7,0
True,279,272,7,1
True,244,272,8,0
True,244,272,8,0
True,284,272,12,1
True,274,273,1,1
True,275,273,2,1
True,276,273,3,1
True,276,273,3,1
True,276,273,3,1
True,276,273,3,1
True,276,273,3,1
True,276,273,3,1
True,276,273,3,1
True,276,273,3,1
True,271,273,3,0
True,271,273,3,0
True,280,273,7,1
True,280,273,7,1
True,224,273,7,0
True,280,273,7,1
True,280,273,7,1
True,224,273,7,0
True,287,273,14,1
True,275,274,1,1
True,277,274,3,1
True,278,274,4,1
True,279,274,5,1
True,281,274,7,1
True,255,274,7,0
True,281,274,7,1
True,281,274,7,1
True,281,274,7,1
True,281,274,7,1
True,281,274,7,1
True,281,274,7,1
True,173,274,7,0
True,277,275,2,1
True,277,275,2,1
True,279,275,4,1
True,279,275,4,1
True,282,275,7,1
True,282,275,7,1
True,282,275,7,1
True,252,275,7,0
True,282,275,7,1
True,277,276,1,1
True,224,276,1,0
True,224,276,1,0
True,224,276,1,0
True,224,276,1,0
True,277,276,1,1
True,277,276,1,1
True,277,276,1,1
True,224,276,1,0
True,224,276,1,0
True,273,276,2,0
True,273,276,2,0
True,280,276,4,1
True,280,276,4,1
True,280,276,4,1
True,280,276,4,1
True,280,276,4,1
True,244,276,4,0
True,280,276,4,1
True,261,276,5,0
True,283,276,7,1
True,279,276,3,1
True,257,276,4,0
True,283,276,7,1
True,283,276,7,1
True,2,276,7,0
True,283,276,7,1
True,283,276,7,1
True,278,277,1,1
True,278,277,1,1
True,279,277,2,1
True,2,277,2,0
True,279,277,2,1
True,284,277,7,1
True,284,277,7,1
True,287,277,10,1
True,198,277,12,0
True,198,277,12,0
True,198,277,12,0
True,198,277,12,0
True,198,277,12,0
True,198,277,12,0
True,198,277,12,0
True,198,277,12,0
True,198,277,12,0
True,198,277,12,0
True,198,277,12,0
True,198,277,12,0
True,282,277,5,1
True,282,277,5,1
True,283,277,6,1
True,283,277,6,1
True,279,278,1,1
True,280,278,2,1
True,280,278,2,1
True,275,278,1,0
True,282,278,4,1
True,282,278,4,1
True,282,278,4,1
True,285,278,7,1
True,223,278,9,0
True,223,278,9,0
True,223,278,9,0
True,223,278,9,0
True,288,278,10,1
True,278,279,1,0
True,278,279,1,0
True,278,279,1,0
True,279,279,0,1
True,247,279,1,0
True,280,279,1,1
True,281,279,2,1
True,278,279,3,0
True,279,279,3,1
True,283,279,4,1
True,2,279,7,0
True,278,280,1,0
True,281,280,1,1
True,278,280,1,0
True,278,280,1,0
True,278,280,1,0
True,282,280,2,1
True,282,280,2,1
True,281,280,1,1
True,281,280,1,1
True,281,280,1,1
True,284,280,4,1
True,282,280,2,1
True,287,280,7,1
True,287,280,7,1
True,268,280,7,0
True,281,281,1,0
True,282,281,1,1
True,282,281,1,1
True,282,281,1,1
True,281,281,1,0
True,284,281,3,1
True,284,281,3,1
True,284,281,3,1
True,284,281,3,1
True,284,281,3,1
True,284,281,3,1
True,284,281,3,1
True,284,281,3,1
True,284,281,3,1
True,284,281,3,1
True,284,281,3,1
True,284,281,3,1
True,284,281,3,1
True,284,281,3,1
True,288,281,7,1
True,2,281,7,0
True,285,281,4,1
True,288,281,7,1
True,283,282,1,1
True,283,282,1,1
True,241,282,2,0
True,284,282,2,1
True,284,282,2,1
True,284,282,2,1
True,204,282,2,0
True,281,282,2,0
True,284,282,2,1
True,226,282,3,0
True,226,282,3,0
True,226,282,3,0
True,226,282,3,0
True,226,282,3,0
True,226,282,3,0
True,285,282,3,1
True,226,282,3,0
True,226,282,3,0
True,284,282,2,1
True,284,282,2,1
True,285,282,3,1
True,285,282,3,1
True,226,282,3,0
True,226,282,3,0
True,226,282,3,0
True,226,282,3,0
True,226,282,3,0
True,226,282,3,0
True,226,282,3,0
True,226,282,3,0
True,226,282,3,0
True,226,282,3,0
True,226,282,3,0
True,226,282,3,0
True,226,282,3,0
True,285,282,3,1
True,285,282,3,1
True,226,282,3,0
True,226,282,3,0
True,226,282,3,0
True,285,282,3,1
True,285,282,3,1
True,285,282,3,1
True,285,282,3,1
True,226,282,3,0
True,226,282,3,0
True,226,282,3,0
True,226,282,3,0
True,286,282,4,1
True,282,283,1,0
True,284,283,1,1
True,284,283,1,1
True,284,283,1,1
True,283,283,1,1
True,285,283,2,1
True,285,283,2,1
True,271,283,2,0
True,285,283,2,1
True,285,283,2,1
True,285,283,2,1
True,285,283,2,1
True,271,283,2,0
True,189,283,7,0
True,189,283,7,0
True,189,283,7,0
True,189,283,7,0
True,189,283,7,0
True,189,283,7,0
True,189,283,7,0
True,189,283,7,0
True,189,283,7,0
True,189,283,7,0
True,140,283,7,0
True,189,283,7,0
True,189,283,7,0
True,189,283,7,0
True,285,284,1,1
True,285,284,1,1
True,285,284,1,1
True,264,284,1,0
True,285,284,1,1
True,286,284,2,1
True,286,284,2,1
True,286,284,2,1
True,285,284,1,1
True,254,284,4,0
True,273,284,4,0
True,288,284,4,1
True,212,284,4,0
True,254,284,4,0
True,289,284,5,1
True,291,284,7,1
True,284,284,9,1
True,285,285,0,1
True,286,285,1,1
True,286,285,1,1
True,286,285,1,1
True,287,285,2,1
True,287,285,2,1
True,287,285,2,1
True,2,285,7,0
True,287,286,1,1
True,287,286,1,1
True,287,286,1,1
True,287,286,1,1
True,287,286,1,1
True,288,286,2,1
True,288,287,1,1
True,288,287,1,1
True,288,287,1,1
True,288,287,1,1
True,295,287,8,1
True,288,288,0,1
True,291,288,3,1
True,294,288,6,1
True,290,289,1,1
True,290,289,1,1
True,291,289,2,1
True,292,289,3,1
True,292,289,3,1
True,293,289,4,1
True,291,290,1,1
True,297,290,7,1
True,298,290,8,1
True,298,291,7,1
True,203,291,7,0
True,298,291,7,1
True,250,291,7,0
True,298,291,7,1
True,300,291,9,1
True,187,292,1,0
True,187,292,1,0
True,293,292,1,1
True,294,292,2,1
True,294,292,2,1
True,294,292,2,1
True,293,292,1,1
True,294,292,2,1
True,295,292,3,1
True,295,292,3,1
True,297,292,5,1
True,297,292,5,1
True,297,292,5,1
True,297,292,5,1
True,297,292,5,1
True,297,292,5,1
True,297,292,5,1
True,297,292,5,1
True,297,292,5,1
True,297,292,5,1
True,297,292,5,1
True,297,292,5,1
True,297,292,5,1
True,297,292,5,1
True,297,292,5,1
True,297,292,5,1
True,297,292,5,1
True,297,292,5,1
True,297,292,5,1
True,297,292,5,1
True,297,292,5,1
True,297,292,5,1
True,297,292,5,1
True,299,292,7,1
True,300,292,8,1
True,174,292,11,0
True,309,292,17,1
True,295,293,2,1
True,298,293,5,1
True,298,293,5,1
True,300,293,7,1
True,303,293,10,1
True,100,293,11,0
True,294,294,0,1
True,294,294,0,1
True,293,294,1,0
True,275,294,2,0
True,275,294,2,0
True,275,294,2,0
True,296,294,2,1
True,296,294,2,1
True,275,294,2,0
True,297,294,3,1
True,297,294,3,1
True,298,294,4,1
True,176,294,6,0
True,279,294,6,0
True,301,294,7,1
True,301,294,7,1
True,301,294,7,1
True,299,295,4,1
True,299,295,4,1
True,302,295,7,1
True,302,295,7,1
True,295,295,7,1
True,293,295,4,0
True,299,295,4,1
True,238,295,4,0
True,299,295,4,1
True,299,295,4,1
True,299,295,4,1
True,302,295,7,1
True,302,295,7,1
True,295,295,3,1
True,297,296,1,1
True,298,296,2,1
True,298,296,2,1
True,298,296,2,1
True,298,296,2,1
True,300,296,4,1
True,300,296,4,1
True,301,296,5,1
True,301,296,5,1
True,302,296,6,1
True,138,296,7,0
True,138,296,7,0
True,138,296,7,0
True,138,296,7,0
True,303,296,7,1
True,311,296,15,1
True,298,296,2,1
True,299,296,3,1
True,298,296,2,1
True,201,296,3,0
True,298,297,1,1
True,177,297,1,0
True,177,297,1,0
True,177,297,1,0
