Type,Reservation Day,Check-in Day,Occupancy_duration,Decision,Cancel_Date,Type_Marked,Lead_Time
True,2015-03-26,2015-07-05,7,0,2015-03-30,Reservation,101
True,2015-03-31,2015-07-05,14,1,,Reservation,96
True,2015-03-17,2015-07-06,4,1,,Reservation,111
True,2015-03-17,2015-07-06,0,1,,Reservation,111
True,2015-07-04,2015-07-06,1,1,,Reservation,2
True,2015-06-29,2015-07-06,2,1,,Reservation,7
True,2015-05-01,2015-07-06,4,1,,Reservation,66
True,2015-03-24,2015-07-06,4,1,,Reservation,104
True,2015-03-30,2015-07-06,6,1,,Reservation,98
True,2015-04-11,2015-07-06,7,0,2015-06-26,Reservation,86
True,2014-10-21,2015-07-06,7,1,,Reservation,258
True,2015-03-17,2015-07-06,8,1,,Reservation,111
True,2015-03-16,2015-07-06,10,1,,Reservation,112
True,2015-04-17,2015-07-06,11,1,,Reservation,80
True,2015-03-17,2015-07-06,14,1,,Reservation,111
True,2015-05-01,2015-07-07,2,0,2015-05-07,Reservation,67
True,2015-05-13,2015-07-07,3,1,,Reservation,55
True,2015-06-29,2015-07-07,0,1,,Reservation,8
True,2015-06-29,2015-07-07,0,1,,Reservation,8
True,2015-07-07,2015-07-07,1,1,,Walk-in,0
True,2015-07-07,2015-07-07,1,1,,Walk-in,0
True,2015-07-07,2015-07-07,4,1,,Walk-in,0
True,2015-05-25,2015-07-07,5,0,2015-05-28,Reservation,43
True,2014-09-18,2015-07-07,7,0,2015-03-25,Reservation,292
True,2015-07-01,2015-07-08,4,1,,Reservation,7
True,2015-07-07,2015-07-08,4,1,,Reservation,1
True,2015-03-17,2015-07-08,4,0,2015-05-28,Reservation,113
True,2015-04-16,2015-07-08,4,1,,Reservation,83
True,2015-03-25,2015-07-08,4,0,2015-06-29,Reservation,105
True,2015-07-08,2015-07-08,1,1,,Walk-in,0
True,2015-07-07,2015-07-08,1,0,2015-07-08,Reservation,1
True,2015-07-07,2015-07-08,1,0,2015-07-08,Reservation,1
True,2015-07-07,2015-07-08,2,1,,Reservation,1
True,2015-03-28,2015-07-08,5,0,2015-05-28,Reservation,102
True,2015-04-17,2015-07-08,8,1,,Reservation,82
True,2015-05-02,2015-07-09,2,1,,Reservation,68
True,2015-04-22,2015-07-09,3,1,,Reservation,78
True,2015-06-22,2015-07-09,4,0,2015-06-23,Reservation,17
True,2015-03-28,2015-07-09,4,0,2015-06-27,Reservation,103
True,2015-06-23,2015-07-09,4,1,,Reservation,16
True,2015-06-25,2015-07-09,5,1,,Reservation,14
True,2015-04-23,2015-07-09,5,1,,Reservation,77
True,2015-04-10,2015-07-09,7,1,,Reservation,90
True,2015-04-10,2015-07-09,7,1,,Reservation,90
True,2014-11-02,2015-07-09,7,1,,Reservation,249
True,2015-05-01,2015-07-09,8,0,2015-05-13,Reservation,69
True,2015-06-30,2015-07-10,1,1,,Reservation,10
True,2015-06-18,2015-07-10,2,1,,Reservation,22
True,2015-04-10,2015-07-10,2,1,,Reservation,91
True,2015-06-17,2015-07-10,2,1,,Reservation,23
True,2015-06-29,2015-07-10,2,1,,Reservation,11
True,2015-07-07,2015-07-10,2,1,,Reservation,3
True,2015-04-10,2015-07-10,2,1,,Reservation,91
True,2015-06-19,2015-07-10,3,1,,Reservation,21
True,2015-04-22,2015-07-10,5,1,,Reservation,79
True,2015-04-23,2015-07-10,7,1,,Reservation,78
True,2015-03-17,2015-07-10,9,1,,Reservation,115
True,2015-04-02,2015-07-11,5,0,2015-05-29,Reservation,100
True,2015-05-28,2015-07-11,5,1,,Reservation,44
True,2014-09-10,2015-07-11,6,1,,Reservation,304
True,2015-05-02,2015-07-11,6,1,,Reservation,70
True,2015-03-24,2015-07-11,7,0,2015-04-22,Reservation,109
True,2015-07-11,2015-07-11,1,1,,Walk-in,0
True,2015-07-11,2015-07-11,1,1,,Walk-in,0
True,2015-07-11,2015-07-11,1,1,,Walk-in,0
True,2015-04-18,2015-07-11,2,1,,Reservation,84
True,2015-05-01,2015-07-11,2,1,,Reservation,71
True,2015-07-03,2015-07-11,3,1,,Reservation,8
True,2015-06-01,2015-07-11,7,1,,Reservation,40
True,2015-03-23,2015-07-11,7,1,,Reservation,110
True,2015-07-10,2015-07-12,1,1,,Reservation,2
True,2015-07-04,2015-07-12,6,1,,Reservation,8
True,2015-05-01,2015-07-12,6,0,2015-05-12,Reservation,72
True,2015-06-30,2015-07-12,7,1,,Reservation,12
True,2015-04-13,2015-07-12,7,1,,Reservation,90
True,2015-05-14,2015-07-12,7,1,,Reservation,59
True,2015-04-13,2015-07-12,7,1,,Reservation,90
True,2015-05-22,2015-07-12,7,0,2015-07-03,Reservation,51
True,2015-06-30,2015-07-12,9,1,,Reservation,12
True,2015-05-09,2015-07-12,9,1,,Reservation,64
True,2015-05-14,2015-07-12,11,1,,Reservation,59
True,2015-04-22,2015-07-12,7,1,,Reservation,81
True,2015-07-11,2015-07-12,1,1,,Reservation,1
True,2015-06-29,2015-07-12,2,1,,Reservation,13
True,2015-07-11,2015-07-12,2,1,,Reservation,1
True,2015-06-08,2015-07-12,2,1,,Reservation,34
True,2015-07-03,2015-07-12,3,1,,Reservation,9
True,2015-06-18,2015-07-12,3,0,2015-06-22,Reservation,24
True,2015-04-06,2015-07-12,4,1,,Reservation,97
True,2015-03-20,2015-07-13,7,1,,Reservation,115
True,2015-04-25,2015-07-13,7,0,2015-05-13,Reservation,79
True,2015-04-13,2015-07-13,7,1,,Reservation,91
True,2015-04-06,2015-07-13,2,1,,Reservation,98
True,2015-03-26,2015-07-13,2,1,,Reservation,109
True,2015-07-13,2015-07-13,2,1,,Walk-in,0
True,2015-04-06,2015-07-13,2,1,,Reservation,98
True,2015-07-04,2015-07-13,2,1,,Reservation,9
True,2015-05-12,2015-07-13,2,1,,Reservation,62
True,2015-05-20,2015-07-13,3,1,,Reservation,54
True,2015-05-23,2015-07-13,3,1,,Reservation,51
True,2015-05-20,2015-07-13,3,1,,Reservation,54
True,2015-07-13,2015-07-13,4,1,,Walk-in,0
True,2014-08-26,2015-07-13,5,0,2015-03-05,Reservation,321
True,2015-04-03,2015-07-13,5,1,,Reservation,101
True,2015-04-23,2015-07-13,6,0,2015-04-24,Reservation,81
True,2015-04-06,2015-07-13,6,0,2015-05-12,Reservation,98
True,2015-05-02,2015-07-13,6,1,,Reservation,72
True,2015-03-20,2015-07-13,7,1,,Reservation,115
True,2015-04-09,2015-07-13,7,0,2015-04-15,Reservation,95
True,2015-06-27,2015-07-13,1,1,,Reservation,16
True,2015-05-18,2015-07-13,4,1,,Reservation,56
True,2015-04-16,2015-07-13,8,1,,Reservation,88
True,2015-07-13,2015-07-14,1,1,,Reservation,1
True,2015-07-13,2015-07-14,1,1,,Reservation,1
True,2015-07-14,2015-07-14,4,1,,Walk-in,0
True,2015-04-29,2015-07-14,5,1,,Reservation,76
True,2015-05-02,2015-07-14,6,1,,Reservation,73
True,2015-03-24,2015-07-14,7,0,2015-04-06,Reservation,112
True,2015-07-08,2015-07-14,7,1,,Reservation,6
True,2015-07-06,2015-07-14,7,1,,Reservation,8
True,2015-04-09,2015-07-14,9,0,2015-04-11,Reservation,96
True,2015-04-09,2015-07-14,9,0,2015-04-11,Reservation,96
True,2015-04-06,2015-07-14,9,1,,Reservation,99
True,2015-05-09,2015-07-14,11,1,,Reservation,66
True,2015-07-14,2015-07-14,1,1,,Walk-in,0
True,2015-05-14,2015-07-15,3,0,2015-07-03,Reservation,62
True,2015-05-19,2015-07-15,2,1,,Reservation,57
True,2015-05-19,2015-07-15,2,1,,Reservation,57
True,2015-05-19,2015-07-15,2,1,,Reservation,57
True,2015-05-19,2015-07-15,2,1,,Reservation,57
True,2015-05-19,2015-07-15,2,1,,Reservation,57
True,2015-05-19,2015-07-15,2,1,,Reservation,57
True,2015-05-19,2015-07-15,2,1,,Reservation,57
True,2015-05-19,2015-07-15,2,0,2015-07-13,Reservation,57
True,2015-05-19,2015-07-15,2,1,,Reservation,57
True,2015-05-19,2015-07-15,2,1,,Reservation,57
True,2015-05-19,2015-07-15,2,1,,Reservation,57
True,2015-05-19,2015-07-15,2,1,,Reservation,57
True,2015-05-19,2015-07-15,2,1,,Reservation,57
True,2015-05-19,2015-07-15,2,1,,Reservation,57
True,2015-05-19,2015-07-15,2,1,,Reservation,57
True,2015-05-19,2015-07-15,2,1,,Reservation,57
True,2015-05-19,2015-07-15,2,1,,Reservation,57
True,2015-05-19,2015-07-15,2,1,,Reservation,57
True,2015-05-19,2015-07-15,2,1,,Reservation,57
True,2015-05-19,2015-07-15,2,1,,Reservation,57
True,2015-07-03,2015-07-16,2,1,,Reservation,13
True,2015-05-29,2015-07-16,1,0,2015-06-05,Reservation,48
True,2015-05-11,2015-07-16,2,0,2015-07-02,Reservation,66
True,2015-07-03,2015-07-16,2,1,,Reservation,13
True,2015-05-11,2015-07-16,2,1,,Reservation,66
True,2015-07-06,2015-07-16,3,0,2015-07-13,Reservation,10
True,2015-05-19,2015-07-16,3,0,2015-06-19,Reservation,58
True,2015-06-29,2015-07-16,3,0,2015-06-30,Reservation,17
True,2015-06-27,2015-07-16,3,1,,Reservation,19
True,2015-05-14,2015-07-16,4,1,,Reservation,63
True,2015-03-25,2015-07-16,6,1,,Reservation,113
True,2015-05-09,2015-07-16,7,1,,Reservation,68
True,2015-03-25,2015-07-16,8,1,,Reservation,113
True,2015-07-11,2015-07-17,0,1,,Reservation,6
True,2015-07-10,2015-07-17,2,1,,Reservation,7
True,2015-07-15,2015-07-17,2,1,,Reservation,2
True,2015-07-02,2015-07-17,2,0,2015-07-06,Reservation,15
True,2015-07-10,2015-07-17,2,0,2015-07-13,Reservation,7
True,2015-07-06,2015-07-17,2,1,,Reservation,11
True,2015-07-11,2015-07-17,2,1,,Reservation,6
True,2015-07-02,2015-07-17,2,1,,Reservation,15
True,2015-07-14,2015-07-17,2,1,,Reservation,3
True,2015-06-24,2015-07-17,3,0,2015-07-04,Reservation,23
True,2015-05-25,2015-07-17,5,1,,Reservation,53
True,2015-05-25,2015-07-17,5,1,,Reservation,53
True,2015-04-14,2015-07-17,5,1,,Reservation,94
True,2015-05-14,2015-07-17,5,1,,Reservation,64
True,2015-05-25,2015-07-17,5,1,,Reservation,53
True,2015-05-25,2015-07-17,5,1,,Reservation,53
True,2015-05-14,2015-07-17,5,1,,Reservation,64
True,2015-05-25,2015-07-17,5,1,,Reservation,53
True,2015-05-25,2015-07-17,7,1,,Reservation,53
True,2015-04-18,2015-07-17,7,1,,Reservation,90
True,2015-06-04,2015-07-17,7,1,,Reservation,43
True,2015-04-18,2015-07-17,7,1,,Reservation,90
True,2015-05-13,2015-07-17,8,1,,Reservation,65
True,2015-04-16,2015-07-17,3,1,,Reservation,92
True,2015-04-17,2015-07-17,3,1,,Reservation,91
True,2015-07-04,2015-07-17,3,1,,Reservation,13
True,2014-09-05,2015-07-17,3,1,,Reservation,315
True,2015-07-09,2015-07-17,3,1,,Reservation,8
True,2015-04-17,2015-07-17,3,1,,Reservation,91
True,2015-07-14,2015-07-17,3,1,,Reservation,3
True,2015-07-08,2015-07-17,4,1,,Reservation,9
True,2015-04-01,2015-07-18,6,1,,Reservation,108
True,2015-06-22,2015-07-18,4,1,,Reservation,26
True,2015-04-13,2015-07-18,4,0,2015-04-29,Reservation,96
True,2015-06-20,2015-07-18,5,1,,Reservation,28
True,2015-04-14,2015-07-18,7,1,,Reservation,95
True,2015-04-15,2015-07-18,7,1,,Reservation,94
True,2015-04-15,2015-07-18,7,1,,Reservation,94
True,2015-05-22,2015-07-18,8,1,,Reservation,57
True,2015-05-22,2015-07-18,8,1,,Reservation,57
True,2015-04-22,2015-07-18,14,1,,Reservation,87
True,2015-07-19,2015-07-19,1,1,,Walk-in,0
True,2015-07-19,2015-07-19,1,1,,Walk-in,0
True,2015-07-19,2015-07-19,1,1,,Walk-in,0
True,2015-06-30,2015-07-19,1,1,,Reservation,19
True,2015-06-05,2015-07-19,4,1,,Reservation,44
True,2015-05-14,2015-07-19,5,1,,Reservation,66
True,2015-05-20,2015-07-19,7,0,2015-05-27,Reservation,60
True,2015-03-24,2015-07-19,7,1,,Reservation,117
True,2015-06-02,2015-07-19,6,1,,Reservation,47
True,2015-04-06,2015-07-19,6,0,2015-07-02,Reservation,104
True,2015-07-06,2015-07-20,1,1,,Reservation,14
True,2015-07-20,2015-07-20,0,1,,Walk-in,0
True,2015-07-20,2015-07-20,0,1,,Walk-in,0
True,2015-05-02,2015-07-20,4,1,,Reservation,79
True,2015-05-18,2015-07-20,4,1,,Reservation,63
True,2015-05-13,2015-07-20,4,1,,Reservation,68
True,2015-04-15,2015-07-20,4,1,,Reservation,96
True,2015-06-09,2015-07-20,5,1,,Reservation,41
True,2015-05-29,2015-07-20,6,1,,Reservation,52
True,2015-04-29,2015-07-20,7,1,,Reservation,82
True,2015-06-08,2015-07-20,7,1,,Reservation,42
True,2015-04-25,2015-07-20,7,0,2015-05-11,Reservation,86
True,2015-05-29,2015-07-20,9,0,2015-06-02,Reservation,52
True,2015-07-13,2015-07-20,11,0,2015-07-14,Reservation,7
True,2015-07-13,2015-07-20,11,0,2015-07-14,Reservation,7
True,2015-07-16,2015-07-21,2,1,,Reservation,5
True,2015-05-01,2015-07-21,3,0,2015-06-01,Reservation,81
True,2015-05-21,2015-07-21,4,1,,Reservation,61
True,2015-04-23,2015-07-21,6,1,,Reservation,89
True,2015-04-10,2015-07-21,7,1,,Reservation,102
True,2015-04-04,2015-07-21,8,1,,Reservation,108
True,2015-06-22,2015-07-21,10,1,,Reservation,29
True,2015-04-17,2015-07-22,4,0,2015-04-22,Reservation,96
True,2015-05-29,2015-07-23,1,0,2015-06-05,Reservation,55
True,2015-07-04,2015-07-23,3,0,2015-07-07,Reservation,19
True,2015-06-18,2015-07-24,1,0,2015-07-22,Reservation,36
True,2015-07-02,2015-07-24,2,1,,Reservation,22
True,2015-07-02,2015-07-24,2,1,,Reservation,22
True,2015-06-18,2015-07-24,2,1,,Reservation,36
True,2015-07-02,2015-07-24,2,1,,Reservation,22
True,2015-06-15,2015-07-24,2,1,,Reservation,39
True,2015-06-09,2015-07-24,3,0,2015-06-17,Reservation,45
True,2015-07-10,2015-07-24,4,1,,Reservation,14
True,2015-06-01,2015-07-24,4,0,2015-06-08,Reservation,53
True,2015-06-26,2015-07-24,4,1,,Reservation,28
True,2015-05-30,2015-07-24,5,1,,Reservation,55
True,2015-05-30,2015-07-24,5,1,,Reservation,55
True,2015-06-29,2015-07-24,7,1,,Reservation,25
True,2015-06-11,2015-07-24,7,0,2015-07-14,Reservation,43
True,2015-04-06,2015-07-24,7,0,2015-04-22,Reservation,109
True,2015-06-11,2015-07-24,9,1,,Reservation,43
True,2015-06-12,2015-07-24,10,0,2015-06-26,Reservation,42
True,2014-09-15,2015-07-24,14,0,2015-07-21,Reservation,312
True,2015-06-08,2015-07-25,3,1,,Reservation,47
True,2015-06-15,2015-07-25,1,1,,Reservation,40
True,2015-07-14,2015-07-25,1,1,,Reservation,11
True,2015-06-16,2015-07-25,1,1,,Reservation,39
True,2015-06-16,2015-07-25,1,0,2015-07-11,Reservation,39
True,2015-07-13,2015-07-25,2,0,2015-07-14,Reservation,12
True,2015-07-09,2015-07-25,2,0,2015-07-10,Reservation,16
True,2015-07-09,2015-07-25,2,0,2015-07-23,Reservation,16
True,2015-07-13,2015-07-25,2,1,,Reservation,12
True,2015-06-04,2015-07-25,3,1,,Reservation,51
True,2015-05-19,2015-07-25,4,1,,Reservation,67
True,2015-06-03,2015-07-25,5,1,,Reservation,52
True,2015-04-22,2015-07-25,5,1,,Reservation,94
True,2015-06-01,2015-07-25,5,0,2015-06-26,Reservation,54
True,2015-06-12,2015-07-25,6,1,,Reservation,43
True,2015-04-29,2015-07-25,6,0,2015-06-02,Reservation,87
True,2015-06-01,2015-07-25,7,1,,Reservation,54
True,2015-06-26,2015-07-25,7,0,2015-06-27,Reservation,29
True,2015-04-20,2015-07-25,7,0,2015-05-12,Reservation,96
True,2015-04-16,2015-07-25,7,0,2015-04-17,Reservation,100
True,2015-06-01,2015-07-25,7,1,,Reservation,54
True,2015-06-24,2015-07-25,7,1,,Reservation,31
True,2015-06-30,2015-07-25,8,0,2015-07-03,Reservation,25
True,2015-05-26,2015-07-25,8,1,,Reservation,60
True,2015-06-24,2015-07-25,9,0,2015-06-29,Reservation,31
True,2015-04-09,2015-07-25,9,0,2015-04-15,Reservation,107
True,2015-04-01,2015-07-25,10,1,,Reservation,115
True,2015-05-01,2015-07-25,14,0,2015-07-03,Reservation,85
True,2015-07-25,2015-07-25,7,1,,Walk-in,0
True,2014-09-29,2015-07-25,7,0,2015-03-25,Reservation,299
True,2015-04-01,2015-07-26,5,0,2015-06-18,Reservation,116
True,2015-06-09,2015-07-26,3,1,,Reservation,47
True,2015-06-08,2015-07-26,3,1,,Reservation,48
True,2015-06-02,2015-07-26,6,0,2015-06-03,Reservation,54
True,2015-06-02,2015-07-26,6,0,2015-06-03,Reservation,54
True,2015-06-22,2015-07-26,2,1,,Reservation,34
True,2015-06-17,2015-07-26,8,0,2015-06-17,Reservation,39
True,2015-06-17,2015-07-26,8,0,2015-06-17,Reservation,39
True,2015-06-11,2015-07-26,7,1,,Reservation,45
True,2015-06-26,2015-07-27,0,1,,Reservation,31
True,2015-06-09,2015-07-27,2,0,2015-06-15,Reservation,48
True,2015-04-22,2015-07-27,3,1,,Reservation,96
True,2015-06-06,2015-07-27,3,1,,Reservation,51
True,2015-04-22,2015-07-27,3,1,,Reservation,96
True,2015-06-16,2015-07-27,4,0,2015-06-17,Reservation,41
True,2015-06-30,2015-07-27,4,1,,Reservation,27
True,2015-06-29,2015-07-27,4,1,,Reservation,28
True,2015-06-27,2015-07-27,4,1,,Reservation,30
True,2015-06-12,2015-07-27,4,1,,Reservation,45
True,2015-06-26,2015-07-27,4,1,,Reservation,31
True,2015-05-14,2015-07-27,4,0,2015-06-29,Reservation,74
True,2015-05-01,2015-07-27,4,0,2015-05-09,Reservation,87
True,2015-06-09,2015-07-27,4,1,,Reservation,48
True,2015-06-24,2015-07-27,5,0,2015-06-25,Reservation,33
True,2015-06-27,2015-07-27,5,1,,Reservation,30
True,2015-06-23,2015-07-27,5,0,2015-07-06,Reservation,34
True,2014-10-02,2015-07-27,6,0,2015-03-17,Reservation,298
True,2015-06-22,2015-07-27,6,1,,Reservation,35
True,2015-06-17,2015-07-27,6,1,,Reservation,40
True,2015-04-17,2015-07-27,7,0,2015-05-13,Reservation,101
True,2015-06-19,2015-07-27,7,1,,Reservation,38
True,2015-06-26,2015-07-28,4,1,,Reservation,32
True,2015-06-29,2015-07-28,4,1,,Reservation,29
True,2015-06-09,2015-07-28,6,1,,Reservation,49
True,2015-04-09,2015-07-28,10,1,,Reservation,110
True,2015-04-01,2015-07-29,4,0,2015-04-04,Reservation,119
True,2015-06-29,2015-07-29,4,1,,Reservation,30
True,2015-05-19,2015-07-29,5,1,,Reservation,71
True,2015-06-22,2015-07-29,5,0,2015-07-27,Reservation,37
True,2015-06-22,2015-07-29,5,1,,Reservation,37
True,2015-06-22,2015-07-29,5,0,2015-07-27,Reservation,37
True,2015-06-22,2015-07-29,5,1,,Reservation,37
True,2015-04-23,2015-07-29,5,1,,Reservation,97
True,2015-05-19,2015-07-29,5,0,2015-05-23,Reservation,71
True,2015-04-18,2015-07-29,7,1,,Reservation,102
True,2015-06-25,2015-07-29,6,1,,Reservation,34
True,2015-04-15,2015-07-29,7,0,2015-04-15,Reservation,105
True,2015-06-12,2015-07-29,8,0,2015-06-17,Reservation,47
True,2015-06-23,2015-07-30,1,1,,Reservation,37
True,2015-07-30,2015-07-30,1,0,2015-07-30,Walk-in,0
True,2015-07-22,2015-07-30,1,0,2015-07-30,Reservation,8
True,2015-07-13,2015-07-30,2,1,,Reservation,17
True,2015-06-30,2015-07-30,3,0,2015-07-06,Reservation,30
True,2015-05-25,2015-07-30,3,0,2015-06-11,Reservation,66
True,2015-07-10,2015-07-30,4,1,,Reservation,20
True,2015-06-30,2015-07-30,3,0,2015-07-06,Reservation,30
True,2015-05-26,2015-07-30,4,0,2015-06-11,Reservation,65
True,2015-05-27,2015-07-30,5,0,2015-06-08,Reservation,64
True,2015-06-19,2015-07-31,0,1,,Reservation,42
True,2015-07-06,2015-07-31,1,0,2015-07-06,Reservation,25
True,2015-07-15,2015-07-31,2,1,,Reservation,16
True,2015-07-27,2015-07-31,2,0,2015-07-31,Reservation,4
True,2015-07-06,2015-07-31,2,0,2015-07-06,Reservation,25
True,2015-05-09,2015-07-31,2,0,2015-06-16,Reservation,83
True,2015-06-05,2015-07-31,2,0,2015-07-21,Reservation,56
True,2015-07-31,2015-07-31,2,1,,Walk-in,0
True,2015-07-13,2015-07-31,3,0,2015-07-15,Reservation,18
True,2015-07-08,2015-07-31,3,0,2015-07-14,Reservation,23
True,2015-06-22,2015-07-31,3,0,2015-07-11,Reservation,39
True,2015-07-13,2015-07-31,3,0,2015-07-15,Reservation,18
True,2015-07-08,2015-07-31,3,0,2015-07-14,Reservation,23
True,2014-10-18,2015-07-31,4,1,,Reservation,286
True,2015-03-17,2015-07-31,4,0,2015-07-09,Reservation,136
True,2015-03-25,2015-08-01,2,1,,Reservation,129
True,2015-05-09,2015-08-01,3,0,2015-05-12,Reservation,84
True,2015-05-09,2015-08-01,3,0,2015-05-12,Reservation,84
True,2015-05-13,2015-08-01,1,0,2015-07-16,Reservation,80
True,2015-07-29,2015-08-01,7,1,,Reservation,3
True,2015-03-30,2015-08-01,6,0,2015-06-06,Reservation,124
True,2015-05-02,2015-08-01,7,0,2015-05-22,Reservation,91
True,2015-03-24,2015-08-01,7,0,2015-05-19,Reservation,130
True,2015-05-02,2015-08-01,7,0,2015-06-06,Reservation,91
True,2015-03-24,2015-08-01,8,0,2015-05-22,Reservation,130
True,2015-07-21,2015-08-01,14,1,,Reservation,11
True,2015-07-08,2015-08-02,1,0,2015-07-08,Reservation,25
True,2015-07-31,2015-08-02,2,0,2015-08-01,Reservation,2
True,2015-04-29,2015-08-02,6,1,,Reservation,95
True,2015-06-03,2015-08-02,7,1,,Reservation,60
True,2015-05-01,2015-08-02,7,1,,Reservation,93
True,2015-03-25,2015-08-03,7,0,2015-03-28,Reservation,131
True,2015-05-13,2015-08-03,7,0,2015-07-06,Reservation,82
True,2015-06-03,2015-08-03,7,0,2015-07-23,Reservation,61
True,2015-05-02,2015-08-04,0,1,,Reservation,94
True,2015-08-04,2015-08-04,1,1,,Walk-in,0
True,2015-06-04,2015-08-04,3,0,2015-07-06,Reservation,61
True,2015-03-17,2015-08-04,7,1,,Reservation,140
True,2015-07-29,2015-08-04,7,1,,Reservation,6
True,2015-03-17,2015-08-04,7,1,,Reservation,140
True,2015-08-03,2015-08-05,1,1,,Reservation,2
True,2015-04-13,2015-08-05,3,0,2015-07-04,Reservation,114
True,2015-06-22,2015-08-05,4,1,,Reservation,44
True,2015-03-19,2015-08-05,4,1,,Reservation,139
True,2015-03-19,2015-08-05,4,1,,Reservation,139
True,2015-05-13,2015-08-05,7,1,,Reservation,84
True,2015-04-10,2015-08-05,8,0,2015-04-22,Reservation,117
True,2015-05-29,2015-08-06,1,0,2015-06-05,Reservation,69
True,2015-08-04,2015-08-06,1,1,,Reservation,2
True,2015-04-10,2015-08-06,3,0,2015-05-20,Reservation,118
True,2015-07-30,2015-08-06,5,1,,Reservation,7
True,2015-08-03,2015-08-06,6,1,,Reservation,3
True,2015-08-06,2015-08-07,1,1,,Reservation,1
True,2015-08-03,2015-08-07,2,1,,Reservation,4
True,2015-05-01,2015-08-07,4,1,,Reservation,98
True,2015-06-22,2015-08-07,4,0,2015-07-14,Reservation,46
True,2015-05-16,2015-08-07,4,1,,Reservation,83
True,2015-06-25,2015-08-07,6,0,2015-06-27,Reservation,43
True,2015-04-16,2015-08-07,7,0,2015-05-14,Reservation,113
True,2015-04-16,2015-08-07,7,0,2015-05-14,Reservation,113
